46,164.9256
Motion, Set, MotionFinishedCount, Guess, Truth, Timer, 44, 196.8369
0,13, 15, Nothing, Nothing, 1523.767
2,7, 22, FlameBlock, Flames, 1527.017
2,16, 14, Nothing, Flames, 1533.583
1,5, 66, FlameBlock, Fireball, 1536.817
3,0, 25, Nothing, FlameBlock, 1539.917
3,1, 22, Nothing, FlameBlock, 1543.333
3,1, 23, Nothing, FlameBlock, 1546.55
1,5, 67, Nothing, Fireball, 1553
3,3, 27, FlameBlock, FlameBlock, 1556.35
1,0, 83, Fireball, Fireball, 1559.633
2,4, 23, FlameBlock, Flames, 1562.967
2,9, 26, FlameBlock, Flames, 1569.283
0,6, 28, Fireball, Nothing, 1575.8
1,1, 88, Fireball, Fireball, 1578.933
3,0, 26, Fireball, FlameBlock, 1582.1
3,6, 30, FlameBlock, FlameBlock, 1591.633
2,14, 17, Nothing, Flames, 1594.733
2,6, 25, Fireball, Flames, 1597.833
1,3, 85, Nothing, Fireball, 1600.95
0,13, 17, Flames, Nothing, 1604.133
2,5, 18, FlameBlock, Flames, 1607.433
0,11, 17, Fireball, Nothing, 1610.583
3,5, 24, FlameBlock, FlameBlock, 1613.917
1,1, 91, Fireball, Fireball, 1617.1
2,12, 20, Nothing, Flames, 1620.333
1,3, 87, FlameBlock, Fireball, 1623.417
3,1, 25, Nothing, FlameBlock, 1626.683
2,1, 20, FlameBlock, Flames, 1630.017
2,0, 28, Fireball, Flames, 1633.25
1,5, 73, FlameBlock, Fireball, 1636.55
1,1, 93, Nothing, Fireball, 1639.75
2,19, 13, Nothing, Flames, 1642.983
2,7, 23, Flames, Flames, 1646.1
3,1, 26, Flames, FlameBlock, 1649.517
2,8, 23, Flames, Flames, 1652.867
2,16, 17, Nothing, Flames, 1656.033
0,8, 14, Fireball, Nothing, 1662.317
1,2, 71, Nothing, Fireball, 1665.45
0,9, 12, Nothing, Nothing, 1668.55
3,9, 23, Fireball, FlameBlock, 1671.933
1,1, 94, Nothing, Fireball, 1675.05
0,7, 17, Fireball, Nothing, 1678.283
3,4, 22, Flames, FlameBlock, 1681.417
3,10, 25, Flames, FlameBlock, 1684.733
3,8, 28, Nothing, FlameBlock, 1687.9
1,5, 76, Nothing, Fireball, 1694.367
1,4, 67, Nothing, Fireball, 1697.75
1,5, 77, Fireball, Fireball, 1700.983
0,1, 19, FlameBlock, Nothing, 1704.267
1,5, 78, Nothing, Fireball, 1707.517
2,1, 21, FlameBlock, Flames, 1710.683
0,8, 15, Fireball, Nothing, 1713.983
0,7, 19, Nothing, Nothing, 1717.2
2,4, 26, Nothing, Flames, 1720.417
1,5, 79, FlameBlock, Fireball, 1723.583
0,7, 20, FlameBlock, Nothing, 1726.883
0,7, 21, Flames, Nothing, 1730.2
3,4, 23, FlameBlock, FlameBlock, 1733.533
2,11, 22, Nothing, Flames, 1736.75
0,10, 26, Nothing, Nothing, 1740.05
2,3, 21, FlameBlock, Flames, 1743.267
0,5, 18, Nothing, Nothing, 1749.483
1,4, 69, Nothing, Fireball, 1752.75
1,2, 76, Flames, Fireball, 1756.15
3,1, 27, Nothing, FlameBlock, 1759.333
0,11, 21, Fireball, Nothing, 1765.817
0,8, 16, Fireball, Nothing, 1768.967
2,8, 24, Flames, Flames, 1775.533
0,5, 19, Nothing, Nothing, 1781.6
3,2, 24, Nothing, FlameBlock, 1784.767
3,7, 28, Nothing, FlameBlock, 1787.967
1,5, 82, Nothing, Fireball, 1791.233
3,6, 35, Nothing, FlameBlock, 1797.65
1,3, 92, Flames, Fireball, 1800.917
1,4, 72, Nothing, Fireball, 1807.2
1,3, 94, Fireball, Fireball, 1810.367
2,8, 25, FlameBlock, Flames, 1813.633
0,0, 21, Fireball, Nothing, 1816.733
3,7, 29, FlameBlock, FlameBlock, 1819.833
2,8, 26, Fireball, Flames, 1823.217
2,0, 30, Fireball, Flames, 1826.55
2,13, 21, Flames, Flames, 1832.9
0,8, 17, Fireball, Nothing, 1836.05
1,1, 102, Flames, Fireball, 1839.417
2,18, 18, Flames, Flames, 1842.55
3,1, 28, Nothing, FlameBlock, 1845.75
3,7, 30, Nothing, FlameBlock, 1849.017
0,0, 22, Fireball, Nothing, 1855.3
0,11, 22, Flames, Nothing, 1858.517
1,4, 76, Nothing, Fireball, 1861.667
3,10, 27, Nothing, FlameBlock, 1864.817
2,13, 23, FlameBlock, Flames, 1867.95
2,5, 21, Fireball, Flames, 1874.583
1,6, 80, Nothing, Fireball, 1877.867
3,9, 27, Fireball, FlameBlock, 1881.017
0,0, 23, Flames, Nothing, 1884.15
1,5, 87, Fireball, Fireball, 1887.25
2,4, 27, Flames, Flames, 1893.617
1,3, 98, Nothing, Fireball, 1896.8
3,7, 31, Nothing, FlameBlock, 1906.35
3,7, 32, FlameBlock, FlameBlock, 1909.6
0,3, 15, Flames, Nothing, 1912.883
1,1, 108, Flames, Fireball, 1916.1
2,21, 18, Flames, Flames, 1919.45
0,8, 18, Fireball, Nothing, 1922.7
0,2, 27, FlameBlock, Nothing, 1926.017
1,2, 84, Flames, Fireball, 1932.467
1,2, 85, Nothing, Fireball, 1935.617
0,0, 24, Fireball, Nothing, 1938.833
3,5, 28, Nothing, FlameBlock, 1942.017
3,10, 28, Nothing, FlameBlock, 1945.4
0,4, 22, Fireball, Nothing, 1948.533
2,12, 25, Flames, Flames, 1955.117
2,15, 28, Flames, Flames, 1958.217
1,2, 86, Nothing, Fireball, 1961.4
2,5, 23, Flames, Flames, 1964.9
2,17, 14, FlameBlock, Flames, 1968.133
1,3, 102, Nothing, Fireball, 1971.133
0,1, 27, Nothing, Nothing, 1974.4
3,4, 26, Nothing, FlameBlock, 1977.667
0,12, 26, Flames, Nothing, 1981.017
1,3, 103, Nothing, Fireball, 1984.267
3,0, 34, Nothing, FlameBlock, 1987.517
3,8, 32, FlameBlock, FlameBlock, 1990.65
3,4, 27, Nothing, FlameBlock, 1993.817
2,19, 17, Fireball, Flames, 1996.933
3,8, 34, Nothing, FlameBlock, 2000.117
0,6, 32, Flames, Nothing, 2003.467
2,13, 27, FlameBlock, Flames, 2009.95
