Allspeed^1,Allspeed^2,Allspeed^3,Horspeed^1,Horspeed^2,Horspeed^3,VelForwardHand^1,VelForwardHand^2,VelForwardHand^3,VelForwardHead^1,VelForwardHead^2,VelForwardHead^3,HandHeadAngle^1,HandHeadAngle^2,HandHeadAngle^3,VertHandDist^1,VertHandDist^2,VertHandDist^3,HorHandDist^1,HorHandDist^2,HorHandDist^3,HandForwardHead^1,HandForwardHead^2,HandForwardHead^3,HandForward^1,HandForward^2,HandForward^3,States
0.9505372,0.903521,0.8588303,0.9153693,0.8379009,0.7669888,86.63542,7505.696,650259.2,71.79324,5154.269,370041.6,151.3877,22918.22,3469537,0.3129103,0.09791287,0.03063795,0.5860587,0.3434649,0.2012906,126.5525,16015.54,2026808,20.81289,433.1762,9015.646,0
0.908605,0.8255631,0.7501108,0.8772765,0.7696141,0.6751644,85.96971,7390.792,635384.2,71.63032,5130.902,367528.2,152.8042,23349.13,3567846,0.3090603,0.09551829,0.02952092,0.5843258,0.3414366,0.1995102,126.8263,16084.92,2039992,21.09509,445.0026,9387.368,0
0.8607243,0.7408463,0.6376644,0.8322389,0.6926215,0.5764265,84.15471,7082.015,595984.9,71.75127,5148.244,369393,154.0888,23743.37,3658588,0.3055921,0.09338651,0.02853817,0.5828807,0.33975,0.1980337,127.17,16172.2,2056619,20.95345,439.0471,9199.553,0
0.84609,0.7158682,0.6056889,0.8208923,0.6738642,0.55317,81.03999,6567.48,532228.6,72.34534,5233.848,378644.5,155.4801,24174.07,3758587,0.3022273,0.09134132,0.02760584,0.5814829,0.3381223,0.1966124,127.3189,16210.11,2063855,20.71463,429.0958,8888.561,0
0.8788003,0.7722899,0.6786886,0.8547372,0.7305757,0.6244503,78.58575,6175.721,485323.7,74.68112,5577.27,416516.8,156.8768,24610.33,3860790,0.2987826,0.08927103,0.02667263,0.5793084,0.3355982,0.1944149,127.4821,16251.69,2071801,20.69178,428.1498,8859.184,0
0.8916962,0.7951221,0.7090074,0.8655053,0.7490994,0.6483495,75.13713,5645.588,424193.3,77.2919,5974.038,461744.8,158.3018,25059.46,3966958,0.295078,0.08707105,0.02569276,0.5772375,0.3332032,0.1923374,127.5354,16265.28,2074399,20.91984,437.6396,9155.35,0
0.8981383,0.8066525,0.7244855,0.8697342,0.7564375,0.6578996,72.42947,5246.029,379967.1,78.68501,6191.33,487164.8,159.7231,25511.48,4074774,0.2913148,0.08486433,0.02472224,0.5750549,0.3306882,0.1901639,127.7034,16308.17,2082610,21.19943,449.4159,9527.362,0
0.9453596,0.8937049,0.8448725,0.9186665,0.8439482,0.775307,70.72203,5001.605,353723.7,81.06615,6571.721,532744.2,161.3135,26022.05,4197708,0.287641,0.08273737,0.02379867,0.5721588,0.3273657,0.1873052,127.8679,16350.2,2090665,21.48907,461.7802,9923.227,0
0.9634115,0.9281616,0.8942015,0.9391223,0.8819506,0.8282595,67.35395,4536.555,305554.9,82.41095,6791.564,559699.3,162.8136,26508.28,4315910,0.2841477,0.08073994,0.02294207,0.5698395,0.324717,0.1850366,127.7786,16327.38,2086289,21.90689,479.9116,10513.37,0
0.9128101,0.8332223,0.7605737,0.883849,0.7811891,0.6904532,61.62208,3797.281,233996.3,83.70882,7007.167,586561.8,164.2374,26973.91,4430123,0.2800393,0.07842202,0.02196125,0.56744,0.3219881,0.1827089,127.7213,16312.74,2083485,22.41373,502.3753,11260.11,0
