I0,I1,I2,States,,IsTrue,IsFalse
0.0784417,112.3222,115.1283,FALSE,,,0.0784417
0.1205298,97.09533,85.95757,FALSE,,,0.1205298
0.1838814,89.43,85.64054,FALSE,,,0.1838814
0.1013678,1.081008,120.2268,FALSE,,,0.1013678
0.3508115,162.0435,35.5865,FALSE,,,0.3508115
0.6735138,157.5674,35.42329,FALSE,,,0.6735138
0.7848882,151.0526,36.95765,FALSE,,,0.7848882
1.302995,127.7032,38.20853,TRUE,,1.302995,
2.171462,128.9713,40.5789,TRUE,,2.171462,
2.097186,125.1536,43.0852,TRUE,,2.097186,
2.704385,124.2554,47.4511,TRUE,,2.704385,
2.976147,123.5375,49.48474,TRUE,,2.976147,
3.584698,118.9192,53.43205,TRUE,,3.584698,
3.666502,119.2798,55.78931,TRUE,,3.666502,
3.438094,117.7452,57.79186,TRUE,,3.438094,
3.478761,117.0164,58.30977,TRUE,,3.478761,
3.029511,118.6588,59.47826,TRUE,,3.029511,
2.691975,120.2507,58.99789,TRUE,,2.691975,
2.3757,124.3135,57.10498,TRUE,,2.3757,
1.934612,127.3827,56.59208,TRUE,,1.934612,
1.352306,126.9898,60.95714,FALSE,,,1.352306
1.270392,124.1662,65.7264,FALSE,,,1.270392
0.5558258,162.1871,57.45559,FALSE,,,0.5558258
0.6897694,115.0152,61.20948,FALSE,,,0.6897694
0.7714971,102.2062,71.14157,FALSE,,,0.7714971
0.8834154,105.4731,77.26996,FALSE,,,0.8834154
0.609356,120.8838,78.93503,FALSE,,,0.609356
0.2086859,179.972,94.60596,FALSE,,,0.2086859
0.3147144,118.298,103.7879,FALSE,,,0.3147144
0.3635831,103.9385,104.3149,FALSE,,,0.3635831
0.2882081,82.80195,112.7218,FALSE,,,0.2882081
0.1951345,64.73551,111.2165,FALSE,,,0.1951345
2.167007,104.095,57.1447,TRUE,,2.167007,
2.346499,104.9736,58.80608,TRUE,,2.346499,
2.842091,107.8665,64.63283,TRUE,,2.842091,
3.069559,109.4746,67.65542,TRUE,,3.069559,
3.364555,110.6199,74.22054,TRUE,,3.364555,
3.439578,111.0274,77.30627,TRUE,,3.439578,
3.309726,111.4205,80.87706,TRUE,,3.309726,
3.298314,111.0973,81.03391,TRUE,,3.298314,
3.010325,111.9218,79.96344,TRUE,,3.010325,
2.806156,112.7804,80.19979,TRUE,,2.806156,
2.447308,114.5323,80.91412,TRUE,,2.447308,
2.16866,115.8195,80.72796,TRUE,,2.16866,
1.663412,117.1252,80.9917,TRUE,,1.663412,
1.541815,118.7591,80.22952,TRUE,,1.541815,
1.127506,119.0929,77.40819,FALSE,,,1.127506
0.7973709,116.0423,80.95428,FALSE,,,0.7973709
0.4858587,123.6844,105.5403,FALSE,,,0.4858587
0.4345348,130.4862,127.8005,FALSE,,,0.4345348
0.3553618,128.1236,153.3056,FALSE,,,0.3553618
0.5263573,123.0058,150.4269,FALSE,,,0.5263573
0.6567917,119.1817,154.9146,FALSE,,,0.6567917
0.4399761,119.5119,154.2156,FALSE,,,0.4399761
0.2839805,107.1143,146.4178,FALSE,,,0.2839805
0.1982257,82.22177,131.2658,FALSE,,,0.1982257
0.1371209,9.910422,66.40268,FALSE,,,0.1371209
0.2066756,15.78656,56.72651,FALSE,,,0.2066756
0.2493806,26.06958,46.72387,FALSE,,,0.2493806
0.2164939,24.19993,42.31409,FALSE,,,0.2164939
0.2437618,32.93225,40.02454,FALSE,,,0.2437618
0.4109021,95.41113,62.01976,FALSE,,,0.4109021
0.5343706,95.32193,61.2376,FALSE,,,0.5343706
0.7950633,96.51315,57.67376,FALSE,,,0.7950633
0.9855645,100.2505,54.12975,FALSE,,,0.9855645
1.415905,107.4622,49.53335,TRUE,,1.415905,
1.640664,111.472,48.6338,TRUE,,1.640664,
2.419017,120.0246,49.54633,TRUE,,2.419017,
2.70545,121.3987,51.31066,TRUE,,2.70545,
2.030306,125.2639,53.66916,TRUE,,2.030306,
3.268438,129.1288,55.14216,TRUE,,3.268438,
4.494326,132.1497,57.11802,TRUE,,4.494326,
3.408237,134.9972,58.66619,TRUE,,3.408237,
3.170302,133.124,62.21974,TRUE,,3.170302,
3.007784,129.3828,64.65292,TRUE,,3.007784,
2.370665,125.1666,69.43511,TRUE,,2.370665,
2.10906,127.056,73.4504,FALSE,,,2.10906
1.499442,121.7956,88.82279,FALSE,,,1.499442
1.144691,118.9472,103.6257,FALSE,,,1.144691
0.8167304,137.2522,140.6775,FALSE,,,0.8167304
0.8081165,154.1767,156.1599,FALSE,,,0.8081165
0.744428,152.8912,144.7128,FALSE,,,0.744428
0.6486227,141.8062,135.9197,FALSE,,,0.6486227
0.2230368,137.9354,148.8226,FALSE,,,0.2230368
0.117835,138.7987,128.097,FALSE,,,0.117835
0.2894365,117.7383,74.59505,FALSE,,,0.2894365
0.3279822,121.4282,64.76598,FALSE,,,0.3279822
0.2686173,104.5858,66.55434,FALSE,,,0.2686173
0.2730858,101.0675,64.48641,FALSE,,,0.2730858
0.2886574,97.78916,64.49336,FALSE,,,0.2886574
0.2592815,88.28757,63.66891,FALSE,,,0.2592815
0.9558514,143.418,44.28911,FALSE,,,0.9558514
1.279087,141.3971,46.4665,TRUE,,1.279087,
1.915052,140.9026,50.93299,TRUE,,1.915052,
2.121124,140.9247,52.34533,TRUE,,2.121124,
2.874586,143.7428,55.88984,TRUE,,2.874586,
3.371377,146.2574,57.61301,TRUE,,3.371377,
3.435739,146.7601,58.32816,TRUE,,3.435739,
3.40772,145.8124,58.49549,TRUE,,3.40772,
2.319202,145.5787,58.46083,TRUE,,2.319202,
3.093934,147.6522,56.62443,TRUE,,3.093934,
2.882112,152.4821,55.30121,TRUE,,2.882112,
2.494411,160.2319,54.46364,TRUE,,2.494411,
2.898126,161.1523,54.15467,TRUE,,2.898126,
1.731212,158.6421,54.21947,TRUE,,1.731212,
1.314704,142.6657,59.40846,TRUE,,1.314704,
1.224203,140.0694,63.30798,FALSE,,,1.224203
0.8299828,129.0543,75.80321,FALSE,,,0.8299828
0.7762829,118.8899,85.26469,FALSE,,,0.7762829
0.618143,109.0733,101.8432,FALSE,,,0.618143
0.9523966,104.8252,110.3084,FALSE,,,0.9523966
1.033132,102.3123,111.5529,FALSE,,,1.033132
0.6141355,100.0884,112.4805,FALSE,,,0.6141355
0.4844838,100.9813,112.3525,FALSE,,,0.4844838
0.3785728,101.4283,106.8195,FALSE,,,0.3785728
